BIGConf,audiofile,framedurationms,kbitspersecond,PER,exp,PLC,pesq,stoi
1,mic_F07_si1588,10.0,32,0.3,1,AllZeroesPLC,1.704679250717163,0.925333946356155
1,mic_F07_si1588,10.0,32,0.3,1,RepeatPreviousPLC,2.192199468612671,0.967468371902668
1,mic_F07_si1588,10.0,32,0.3,1,Pattern,1.5511459112167358,0.937620092983927
1,mic_F07_si1588,10.0,32,0.3,2,AllZeroesPLC,1.6193437576293945,0.9162544973842295
1,mic_F07_si1588,10.0,32,0.3,2,RepeatPreviousPLC,1.9744102954864502,0.9617695132014115
1,mic_F07_si1588,10.0,32,0.3,2,Pattern,1.471885085105896,0.9353474259695863
1,mic_F07_si1588,10.0,32,0.3,3,AllZeroesPLC,1.8443224430084229,0.9361682301323455
1,mic_F07_si1588,10.0,32,0.3,3,RepeatPreviousPLC,2.273488998413086,0.9620390184259465
1,mic_F07_si1588,10.0,32,0.3,3,Pattern,1.6124298572540283,0.9407626757196097
1,mic_F07_si1588,10.0,32,0.3,4,AllZeroesPLC,2.0732510089874268,0.9498854951171576
1,mic_F07_si1588,10.0,32,0.3,4,RepeatPreviousPLC,2.6666648387908936,0.9739268652133927
1,mic_F07_si1588,10.0,32,0.3,4,Pattern,2.0176339149475098,0.9586122382578094
1,mic_F07_si1588,10.0,32,0.3,5,AllZeroesPLC,1.9347481727600098,0.9334700551851673
1,mic_F07_si1588,10.0,32,0.3,5,RepeatPreviousPLC,2.9280824661254883,0.9726379618609046
1,mic_F07_si1588,10.0,32,0.3,5,Pattern,1.9454154968261719,0.9466865584511261
1,mic_F07_si1588,10.0,32,0.3,6,AllZeroesPLC,1.5805377960205078,0.9252362405464818
1,mic_F07_si1588,10.0,32,0.3,6,RepeatPreviousPLC,2.271967887878418,0.9588901509361074
1,mic_F07_si1588,10.0,32,0.3,6,Pattern,1.6225693225860596,0.9367644257086917
1,mic_F07_si1588,10.0,32,0.3,7,AllZeroesPLC,1.7132277488708496,0.9267519776324434
1,mic_F07_si1588,10.0,32,0.3,7,RepeatPreviousPLC,2.2491867542266846,0.9665727584025517
1,mic_F07_si1588,10.0,32,0.3,7,Pattern,1.569811224937439,0.941680082877818
1,mic_F07_si1588,10.0,32,0.3,8,AllZeroesPLC,1.5888822078704834,0.908154820320989
1,mic_F07_si1588,10.0,32,0.3,8,RepeatPreviousPLC,2.2809317111968994,0.9576656142009247
1,mic_F07_si1588,10.0,32,0.3,8,Pattern,1.4508476257324219,0.9263177196475005
1,mic_F07_si1588,10.0,32,0.3,9,AllZeroesPLC,1.6144862174987793,0.9242685505327815
1,mic_F07_si1588,10.0,32,0.3,9,RepeatPreviousPLC,2.3438291549682617,0.970350581765621
1,mic_F07_si1588,10.0,32,0.3,9,Pattern,1.5478813648223877,0.9384980597128172
1,mic_M01_si453,10.0,32,0.3,0,AllZeroesPLC,2.6376149654388428,0.9798824536015956
1,mic_M01_si453,10.0,32,0.3,0,RepeatPreviousPLC,2.9380974769592285,0.9833933304063135
1,mic_M01_si453,10.0,32,0.3,0,Pattern,2.3308463096618652,0.977516257663067
1,mic_M01_si453,10.0,32,0.3,1,AllZeroesPLC,1.953966498374939,0.9374861414985715
1,mic_M01_si453,10.0,32,0.3,1,RepeatPreviousPLC,1.9134962558746338,0.9576100590076242
1,mic_M01_si453,10.0,32,0.3,1,Pattern,1.9159668684005737,0.9539282774388711
1,mic_M01_si453,10.0,32,0.3,2,AllZeroesPLC,2.382901191711426,0.927184350720597
1,mic_M01_si453,10.0,32,0.3,2,RepeatPreviousPLC,2.0557456016540527,0.9539118631317445
1,mic_M01_si453,10.0,32,0.3,2,Pattern,2.035066604614258,0.9582101025588361
1,mic_M01_si453,10.0,32,0.3,3,AllZeroesPLC,2.2969775199890137,0.9424324040361315
1,mic_M01_si453,10.0,32,0.3,3,RepeatPreviousPLC,2.2326579093933105,0.9646885154960508
1,mic_M01_si453,10.0,32,0.3,3,Pattern,2.0379819869995117,0.9630142560008532
1,mic_M01_si453,10.0,32,0.3,4,AllZeroesPLC,2.1339917182922363,0.9468683977685171
1,mic_M01_si453,10.0,32,0.3,4,RepeatPreviousPLC,2.0508575439453125,0.9560401574420058
1,mic_M01_si453,10.0,32,0.3,4,Pattern,1.9392424821853638,0.9516353194653596
1,mic_M01_si453,10.0,32,0.3,5,AllZeroesPLC,1.7578203678131104,0.9523951170436971
1,mic_M01_si453,10.0,32,0.3,5,RepeatPreviousPLC,1.8811146020889282,0.9575230622222953
1,mic_M01_si453,10.0,32,0.3,5,Pattern,1.732597827911377,0.9531096086418355
1,mic_M01_si453,10.0,32,0.3,6,AllZeroesPLC,2.5559146404266357,0.9662621819657087
1,mic_M01_si453,10.0,32,0.3,6,RepeatPreviousPLC,2.48964524269104,0.9740852987452028
1,mic_M01_si453,10.0,32,0.3,6,Pattern,2.107164144515991,0.9663242794599417
1,mic_M01_si453,10.0,32,0.3,7,AllZeroesPLC,1.816611886024475,0.9540273343683219
1,mic_M01_si453,10.0,32,0.3,7,RepeatPreviousPLC,1.8030335903167725,0.9575795217352145
1,mic_M01_si453,10.0,32,0.3,7,Pattern,1.796342134475708,0.9578323634771573
1,mic_M01_si453,10.0,32,0.3,8,AllZeroesPLC,1.9905364513397217,0.9595337848627452
1,mic_M01_si453,10.0,32,0.3,8,RepeatPreviousPLC,2.2021427154541016,0.9602930694753987
1,mic_M01_si453,10.0,32,0.3,8,Pattern,2.1484375,0.9633515702753307
1,mic_M01_si453,10.0,32,0.3,9,AllZeroesPLC,2.175402879714966,0.9479749628452329
1,mic_M01_si453,10.0,32,0.3,9,RepeatPreviousPLC,2.333876609802246,0.9675093330062056
1,mic_M01_si453,10.0,32,0.3,9,Pattern,1.9711310863494873,0.9611989735042338
1,mic_M05_sa1,10.0,32,0.3,0,AllZeroesPLC,2.192155361175537,0.9548369191269858
1,mic_M05_sa1,10.0,32,0.3,0,RepeatPreviousPLC,2.305419445037842,0.9570981163409866
1,mic_M05_sa1,10.0,32,0.3,0,Pattern,1.8944352865219116,0.9486668492809915
1,mic_M05_sa1,10.0,32,0.3,1,AllZeroesPLC,2.496741533279419,0.9555681724881292
1,mic_M05_sa1,10.0,32,0.3,1,RepeatPreviousPLC,2.513439416885376,0.9608857518685399
